date,amount,description
11-11-2025,500,LEGAL - Legal services DEL
01-08-2025,"12,191",CA CONSULT - CA consultation UPI/FQ0K8L
09-09-2025,989 INR,ZOOM - Zoom subscription ONLINE/AJ4AY7
06-12-2025,? 50,NEFT - NEFT transfer AHM
28-06-2025,"2,203",GAS - Gas bill
12-02-2025,308,ZOMATO - Zomato food order POS/IJSJTT
05-08-2025,"? 18,520",GOOGLE CLOUD - Google Cloud billing AHM
13-08-2025,? 562,IRCTC - IRCTC train booking
26-10-2025,? 482,NETFLIX - Netflix subscription DEL
09-05-2025,"? 2,201",GAS - Gas bill Ref BG83A8V8PZ
11-11-2025,245.38,OLA - Ola ride UPI/ZWI6CT
28-05-2025,"7,674.46",GOIBIBO - Goibibo booking ONLINE/D1MAMT
25-08-2025,303 INR,NETFLIX - Netflix subscription
21-04-2025,270 INR,STARBUCKS - Starbucks coffee Txn 70VOJCUGN5XQ
08-09-2025,600.95,KFC - KFC meal DEL
11-03-2025,"9,490",AWS - AWS cloud charges AHM
18-07-2025,"? 2,979",GAS - Gas bill Txn JUKN1L1FZADP
29-03-2025,? 401.68,SPOTIFY - Spotify subscription Payment ILOV1F
11-04-2025,250,STARBUCKS - Starbucks coffee
21-02-2025,"13,803",GOOGLE CLOUD - Google Cloud billing Payment PM4Z5Z
05-10-2025,"? 3,329.63",WATER - Water bill AHM
16-03-2025,"? 4,871.53",GOOGLE ADS - Google ads spend
02-09-2025,"17,884.67 INR",INDIGO - IndiGo flight Payment XZYDZM
05-10-2025,"? 8,423",VISTARA - Vistara flight DEL
07-03-2025,"6,594 INR",MAKEMYTRIP - MakeMyTrip booking UPI/W7VWAW
02-04-2025,"11,138 INR",GOOGLE CLOUD - Google Cloud billing Payment ZKOKXH
02-07-2025,97 INR,HDFC - HDFC bank charge
15-10-2025,542,DOMINOS - Dominos pizza AHM
08-09-2025,"? 1,417",SLACK - Slack subscription Ref QFUS90F3O0
29-08-2025,443,IRCTC - IRCTC train booking MUM
26-09-2025,"7,325.27",LEGAL - Legal services POS/RPS2K4
15-04-2025,"2,847 INR",GITHUB - GitHub subscription ONLINE/OH1HL3
13-03-2025,636 INR,ZOMATO - Zomato food order AHM
05-04-2025,"? 20,835.87",AWS - AWS cloud charges
11-07-2025,"7,883",MAKEMYTRIP - MakeMyTrip booking Ref 5RDEA22Z4E
15-01-2025,313,SPOTIFY - Spotify subscription Payment LJDSL1
07-09-2025,322.91,ZOOM - Zoom subscription DEL
13-08-2025,"? 12,427",VISTARA - Vistara flight ONLINE/EP2ZYZ
26-12-2025,56,SBI - SBI service charge DEL
25-01-2025,? 80,ZOMATO - Zomato food order UPI/Y53084
26-11-2025,"9,576",FREELANCER - Freelance services AHM
08-11-2025,"? 9,937.50",FREELANCER - Freelance services ONLINE/RKA24H
16-04-2025,"2,069",AIRTEL - Airtel broadband bill Ref YG46KEOTZT
16-04-2025,"4,374",UPI - UPI transfer MUM
27-07-2025,131,HDFC - HDFC bank charge ONLINE/SLOWNZ
21-07-2025,892,AIRTEL - Airtel broadband bill ONLINE/NC7L7X
15-12-2025,? 173,HDFC - HDFC bank charge ONLINE/OGRQ3M
26-02-2025,"1,784 INR",BIGBASKET - BigBasket groceries UPI/Y1JTBT
14-04-2025,? 93,ICICI - ICICI bank fee BLR
08-05-2025,"? 1,293",ATLASSIAN - Atlassian Jira DEL
18-06-2025,"1,725",AIRTEL - Airtel broadband bill MUM
10-08-2025,612,SWIGGY - Swiggy food order Payment IVVPTJ
27-05-2025,? 489.63,SPOTIFY - Spotify subscription MUM
15-08-2025,? 133,DOMINOS - Dominos pizza ONLINE/ZZ6CO8
12-03-2025,? 176,OLA - Ola ride
16-07-2025,"1,304",DMART - DMart groceries Ref O6F33VHDFH
05-09-2025,"? 2,297",RELIANCE FRESH - Reliance Fresh groceries MUM
19-06-2025,"20,182",GOOGLE ADS - Google ads spend ONLINE/4NV48D
25-04-2025,? 200,BIGBASKET - BigBasket groceries BLR
14-08-2025,50,NEFT - NEFT transfer DEL
30-10-2025,937,AIRTEL - Airtel broadband bill Ref OBW1CG7ENI
08-03-2025,? 282,SPOTIFY - Spotify subscription
09-12-2025,"2,644 INR",GITHUB - GitHub subscription Ref XJURK2OSQU
18-10-2025,"3,099",GITHUB - GitHub subscription Txn RME94TJMLUYB
17-03-2025,? 308,AIRTEL - Airtel broadband bill AHM
12-08-2025,476,ATLASSIAN - Atlassian Jira Txn 36BK4JQF0C9E
06-05-2025,500,FREELANCER - Freelance services Payment C9S0WA
25-11-2025,"2,189 INR",VISTARA - Vistara flight MUM
14-10-2025,205 INR,ICICI - ICICI bank fee POS/DVEAFH
24-11-2025,"? 5,048",CA CONSULT - CA consultation UPI/JQ500C
03-07-2025,290,BIGBASKET - BigBasket groceries ONLINE/NLS2E4
24-09-2025,500 INR,LEGAL - Legal services Ref 5O7IPZNRVO
14-09-2025,673,KFC - KFC meal MUM
13-07-2025,124,SBI - SBI service charge BLR
28-12-2025,"? 7,508",VISTARA - Vistara flight Txn KVQ3UCJ34KGR
25-01-2025,"? 5,274",GOIBIBO - Goibibo booking UPI/1MBXT8
13-08-2025,? 200,GAS - Gas bill MUM
08-12-2025,276 INR,HDFC - HDFC bank charge Ref QNXZL7BGEZ
13-07-2025,"1,684.15 INR",ADOBE - Adobe subscription Txn FKSPUIL9A6P4
25-03-2025,431,SPOTIFY - Spotify subscription DEL
05-02-2025,"4,341",GOIBIBO - Goibibo booking AHM
22-01-2025,"2,288",ELECTRICITY - Electricity bill Txn PQ9Z4BR9XPMW
27-02-2025,244 INR,OLA - Ola ride ONLINE/4XAGC5
14-11-2025,"1,085",GAS - Gas bill BLR
04-03-2025,"4,253",FREELANCER - Freelance services POS/OGCK6C
26-09-2025,600,SWIGGY - Swiggy food order Txn 9OIZ05ANWA1I
20-07-2025,"3,000",AMAZON - Amazon office supplies DEL
26-04-2025,383,KFC - KFC meal ONLINE/E5V9KP
14-05-2025,"28,618",GOOGLE ADS - Google ads spend
14-07-2025,31,HDFC - HDFC bank charge ONLINE/9UEXTB
16-10-2025,? 375,FLIPKART - Flipkart office supplies UPI/9WAGHW
17-05-2025,272,ICICI - ICICI bank fee
03-12-2025,"? 2,659",INDIGO - IndiGo flight
10-09-2025,"? 1,420",AIRTEL - Airtel broadband bill AHM
19-01-2025,"1,475.76",BIGBASKET - BigBasket groceries Ref WOPFEX38YW
21-08-2025,"? 15,800",NEFT - NEFT transfer DEL
23-12-2025,"? 11,296",GOOGLE ADS - Google ads spend MUM
13-07-2025,? 589,NETFLIX - Netflix subscription Txn 1UCMJXYREQ8G
19-02-2025,"2,807",GAS - Gas bill BLR
17-12-2025,"1,775",DMART - DMart groceries Txn 82L3FP0RGUPS
18-05-2025,"10,368",FREELANCER - Freelance services AHM
19-06-2025,"2,148 INR",WATER - Water bill MUM
02-08-2025,10,SBI - SBI service charge BLR
24-03-2025,"23,706 INR",META ADS - Meta ads spend POS/QREX4V
03-10-2025,"2,844",AMAZON - Amazon office supplies MUM
20-05-2025,? 108,ICICI - ICICI bank fee
29-03-2025,388,SPOTIFY - Spotify subscription
12-02-2025,"? 2,913",AIRTEL - Airtel broadband bill
16-02-2025,? 747,SWIGGY - Swiggy food order AHM
19-04-2025,586,NETFLIX - Netflix subscription UPI/ABM2WL
15-09-2025,? 365,STARBUCKS - Starbucks coffee UPI/G8E691
12-07-2025,"? 2,205",WATER - Water bill
14-10-2025,122.37 INR,DOMINOS - Dominos pizza Txn UZ8RY3NRJGQM
05-06-2025,312,UBER - Uber trip
18-07-2025,"2,252 INR",MAKEMYTRIP - MakeMyTrip booking UPI/64HTDN
16-05-2025,748,SWIGGY - Swiggy food order AHM
21-11-2025,"1,636 INR",BIGBASKET - BigBasket groceries AHM
06-07-2025,"2,289",MAKEMYTRIP - MakeMyTrip booking UPI/XG03QZ
12-03-2025,? 289,KFC - KFC meal Txn 0I1V5KUIHBFH
03-11-2025,"? 2,737",SLACK - Slack subscription AHM
09-10-2025,"? 1,445",JIO - Jio fiber bill Txn SWDN99AAJ9WU
13-12-2025,457,NETFLIX - Netflix subscription Txn 3EBACBLMA686
10-09-2025,200 INR,BIGBASKET - BigBasket groceries
11-11-2025,225 INR,ICICI - ICICI bank fee ONLINE/60MXT0
19-09-2025,"13,165",AWS - AWS cloud charges BLR
18-12-2025,131.46,OLA - Ola ride DEL
13-02-2025,765.1,NOTION - Notion subscription POS/M5QUIP
14-12-2025,"1,946",ZOOM - Zoom subscription UPI/WFZ0PB
07-04-2025,104,HDFC - HDFC bank charge UPI/5GNI9T
26-10-2025,209 INR,SBI - SBI service charge DEL
15-08-2025,340 INR,OLA - Ola ride POS/CIR8DU
05-04-2025,"1,811",SLACK - Slack subscription AHM
18-11-2025,? 254,OLA - Ola ride DEL
20-05-2025,516,ZOMATO - Zomato food order DEL
18-11-2025,233,SWIGGY - Swiggy food order UPI/XWNM1H
11-08-2025,234 INR,SBI - SBI service charge BLR
18-02-2025,"7,737",CA CONSULT - CA consultation UPI/UVXW23
14-02-2025,831,RELIANCE FRESH - Reliance Fresh groceries Payment TOPSP7
07-01-2025,"? 11,386",MAKEMYTRIP - MakeMyTrip booking DEL
