date,amount,description
2025-04-13,"3,474",LEGAL - Legal services ONLINE/T3W5UZ
2025-08-03,"3,534",AMAZON - Amazon office supplies Payment 4FFYVN
2025-06-01,"1,338 INR",AMAZON - Amazon office supplies BLR
2025-10-04,"1,315 INR",BIGBASKET - BigBasket groceries DEL
2025-12-11,"₹10,229",GOIBIBO - Goibibo booking ONLINE/CC5O7U
2025-09-28,200 INR,BIGBASKET - BigBasket groceries
2025-02-24,"1,427.99",NOTION - Notion subscription POS/35A0L7
2025-10-01,"1,448.89",RELIANCE FRESH - Reliance Fresh groceries BLR
2025-09-22,493 INR,SPOTIFY - Spotify subscription Txn HR62GDSWM31Y
2025-03-22,150 INR,AMAZON - Amazon office supplies BLR
2025-02-23,13.75,ICICI - ICICI bank fee Payment RE8QJN
2025-09-27,"₹4,681",IMPS - IMPS transfer MUM
2025-08-03,"6,887",UPI - UPI transfer ONLINE/L08YG0
2025-10-07,"₹1,218",RELIANCE FRESH - Reliance Fresh groceries UPI/BFUK9E
2025-02-10,53,SBI - SBI service charge UPI/V37PQK
2025-05-16,"1,271",FLIPKART - Flipkart office supplies MUM
2025-06-12,539.01,SWIGGY - Swiggy food order DEL
2025-07-20,"₹11,322",NEFT - NEFT transfer Payment TU2GC5
2025-02-17,575 INR,SPOTIFY - Spotify subscription Txn C89K8YQK94DN
2025-02-04,₹500,LEGAL - Legal services Txn 8T63J3R30ME8
2025-05-11,"8,488",LEGAL - Legal services DEL
2025-01-15,"2,277 INR",BIGBASKET - BigBasket groceries AHM
2025-12-18,239 INR,AIRTEL - Airtel broadband bill ONLINE/5Z8VMU
2025-08-25,"₹9,755",UPI - UPI transfer Ref 3493WXA73J
2025-01-13,"1,051",RELIANCE FRESH - Reliance Fresh groceries AHM
2025-05-14,"₹6,725",GOOGLE CLOUD - Google Cloud billing AHM
2025-12-06,"7,208 INR",MAKEMYTRIP - MakeMyTrip booking POS/ZDUXLE
2025-08-13,"1,878 INR",RELIANCE FRESH - Reliance Fresh groceries DEL
2025-08-21,202,SWIGGY - Swiggy food order Payment WC4RTW
2025-08-22,994 INR,ADOBE - Adobe subscription Ref KAMUGYSM8T
2025-04-06,₹500,FREELANCER - Freelance services UPI/DLKQZF
2025-09-25,"12,108 INR",VISTARA - Vistara flight POS/Q6QDY4
2025-04-23,₹404,ZOMATO - Zomato food order UPI/XG8P6B
2025-05-06,506,KFC - KFC meal AHM
2025-09-04,"2,000",DMART - DMart groceries MUM
2025-04-08,608 INR,DOMINOS - Dominos pizza UPI/21UZVG
2025-04-07,122 INR,HDFC - HDFC bank charge Txn Y2JR8KK791ZY
2025-12-12,₹500,CA CONSULT - CA consultation UPI/UT076G
2025-12-18,"15,852",GOOGLE ADS - Google ads spend Payment 7NH8RQ
2025-05-31,200 INR,MICROSOFT - Microsoft 365 UPI/ZR6QCE
2025-05-24,₹477,ZOMATO - Zomato food order ONLINE/CVQY5I
2025-10-31,"2,115",RELIANCE FRESH - Reliance Fresh groceries Txn V0GYUBMXNSZO
2025-01-09,"1,875",DMART - DMart groceries
2025-06-10,"₹2,417",META ADS - Meta ads spend BLR
2025-04-14,"₹3,045",AMAZON - Amazon office supplies UPI/55RBC7
2025-12-04,"3,800",MAKEMYTRIP - MakeMyTrip booking DEL
2025-06-10,"1,446",ADOBE - Adobe subscription Ref YGJJFGJK2N
2025-07-14,"1,557 INR",AMAZON - Amazon office supplies Payment SUUQO1
2025-01-22,"19,908",GOOGLE ADS - Google ads spend UPI/F9IGFU
2025-10-11,"1,234 INR",MICROSOFT - Microsoft 365 MUM
2025-10-31,"2,361.97",META ADS - Meta ads spend AHM
2025-04-09,"1,884 INR",GITHUB - GitHub subscription DEL
2025-10-29,785 INR,UPI - UPI transfer AHM
2025-05-08,"2,149",MICROSOFT - Microsoft 365 Ref E11E9FTAXP
2025-11-19,655 INR,MICROSOFT - Microsoft 365 Ref E4UNY181AC
2025-06-04,₹458,KFC - KFC meal DEL
2025-04-14,₹529,SPOTIFY - Spotify subscription AHM
2025-09-04,"₹4,718",AMAZON - Amazon office supplies DEL
2025-01-13,25 INR,SBI - SBI service charge DEL
2025-05-23,"₹1,895",ADOBE - Adobe subscription ONLINE/3Z6BZ8
2025-08-03,120,STARBUCKS - Starbucks coffee Payment KGAZU4
2025-02-27,"₹1,131",IRCTC - IRCTC train booking Txn G5DZX5QJICJD
2025-11-22,"11,804 INR",AWS - AWS cloud charges Txn 7TXKDOTRBAD3
2025-04-18,"₹1,200",MAKEMYTRIP - MakeMyTrip booking BLR
2025-12-31,₹326,SWIGGY - Swiggy food order DEL
2025-05-24,287.91 INR,MICROSOFT - Microsoft 365
2025-05-25,₹93,STARBUCKS - Starbucks coffee Payment RK6O0U
2025-04-27,200,DMART - DMart groceries AHM
2025-05-09,336,STARBUCKS - Starbucks coffee BLR
2025-08-25,182,OLA - Ola ride MUM
2025-03-10,876,AWS - AWS cloud charges UPI/D1B4XG
2025-07-04,"₹14,544",GOIBIBO - Goibibo booking ONLINE/36WA7S
2025-02-16,"5,803",INDIGO - IndiGo flight BLR
2025-10-16,"14,662 INR",GOIBIBO - Goibibo booking DEL
2025-09-03,"1,054",SLACK - Slack subscription ONLINE/1B3D50
2025-09-14,415,NETFLIX - Netflix subscription POS/UEVJLZ
2025-12-02,369,STARBUCKS - Starbucks coffee
2025-06-27,"₹1,867",WATER - Water bill ONLINE/K7N3BF
2025-06-28,453 INR,SPOTIFY - Spotify subscription BLR
2025-10-12,₹704,KFC - KFC meal Payment SDNAI8
2025-09-10,₹433,SPOTIFY - Spotify subscription DEL
2025-03-31,"₹3,075",FREELANCER - Freelance services POS/XKDQ95
2025-07-15,₹652.74,AIRTEL - Airtel broadband bill BLR
2025-08-05,"₹13,796",FREELANCER - Freelance services BLR
2025-12-23,"10,610.11",CA CONSULT - CA consultation DEL
2025-04-06,"7,162",UPI - UPI transfer
2025-07-02,"19,429",META ADS - Meta ads spend Payment ZN4KGE
2025-08-05,497,SPOTIFY - Spotify subscription Payment KLS1QC
2025-08-21,"1,079.84",GITHUB - GitHub subscription UPI/GA0X7Z
2025-05-24,₹199,HDFC - HDFC bank charge BLR
2025-01-25,215.28 INR,AIRTEL - Airtel broadband bill Ref JPI163YK03
2025-06-30,₹487,SWIGGY - Swiggy food order Txn 87F00TERKMBY
2025-08-11,873.42,ZOMATO - Zomato food order Txn 6RPKZGGM0J36
2025-09-10,"8,499 INR",GOIBIBO - Goibibo booking Payment U8UU01
2025-10-10,"6,438",GOOGLE CLOUD - Google Cloud billing ONLINE/HL1737
2025-11-17,"₹1,658.84",MICROSOFT - Microsoft 365 UPI/O55IXV
2025-11-23,"4,830",AWS - AWS cloud charges Txn OUU9SIJPYUEO
2025-12-12,"1,258 INR",ZOOM - Zoom subscription Ref QL0HT1TW9Z
2025-08-30,"₹5,065",GOOGLE CLOUD - Google Cloud billing UPI/UPLVQE
2025-12-27,214 INR,OLA - Ola ride Ref 5OOP767J2D
2025-07-10,50,IMPS - IMPS transfer
2025-06-22,₹408.69,KFC - KFC meal Ref DZWDZ09WFT
2025-05-29,"₹5,576",FREELANCER - Freelance services AHM
2025-02-16,491,ZOMATO - Zomato food order DEL
2025-02-23,"₹2,235",ZOOM - Zoom subscription POS/NBHDS2
2025-08-12,723 INR,IRCTC - IRCTC train booking
2025-01-08,"₹2,309",GAS - Gas bill MUM
2025-01-28,655,AIRTEL - Airtel broadband bill AHM
2025-05-25,"₹4,090",MAKEMYTRIP - MakeMyTrip booking BLR
2025-02-15,500,GOOGLE CLOUD - Google Cloud billing Payment 2KB700
2025-07-16,261.79 INR,NOTION - Notion subscription MUM
2025-04-29,267,ICICI - ICICI bank fee Payment GAD7X4
2025-08-27,"8,125",LEGAL - Legal services UPI/1NLC8J
2025-04-08,₹500,FREELANCER - Freelance services Payment DW0FGZ
2025-11-07,"1,683.45",ADOBE - Adobe subscription Txn ZOHXS75T0IC0
2025-02-22,435.28 INR,SPOTIFY - Spotify subscription Payment KPUG99
2025-03-19,₹859,MICROSOFT - Microsoft 365 MUM
2025-10-15,₹655,DMART - DMart groceries DEL
2025-02-08,249,UBER - Uber trip AHM
2025-02-23,"₹3,292.66",ADOBE - Adobe subscription Ref X015Z11L6S
2025-09-08,532,GITHUB - GitHub subscription ONLINE/BLEJGU
2025-03-07,353,SWIGGY - Swiggy food order AHM
2025-08-14,"2,964",JIO - Jio fiber bill UPI/9SM7VN
2025-11-04,200,NOTION - Notion subscription ONLINE/KT7S1G
2025-01-30,"₹2,333.39",ATLASSIAN - Atlassian Jira MUM
2025-07-03,"2,164 INR",WATER - Water bill DEL
2025-03-10,"1,196 INR",RELIANCE FRESH - Reliance Fresh groceries Payment V9E40K
2025-04-21,"₹5,919",NEFT - NEFT transfer ONLINE/TA195E
2025-04-05,823,KFC - KFC meal MUM
2025-12-18,50 INR,NEFT - NEFT transfer DEL
2025-05-02,₹574,STARBUCKS - Starbucks coffee Ref H80Q7TW1PU
2025-01-22,"₹4,579",INDIGO - IndiGo flight ONLINE/CTZETR
2025-08-21,₹314,OLA - Ola ride MUM
2025-03-14,186,OLA - Ola ride Ref XGPXAHKUDI
2025-02-25,111 INR,HDFC - HDFC bank charge Ref 173RIH83J0
2025-07-26,"1,251 INR",NOTION - Notion subscription DEL
2025-01-28,"₹6,361",META ADS - Meta ads spend
2025-11-08,200,GITHUB - GitHub subscription Txn HNOX8FK2076V
2025-12-29,261 INR,FLIPKART - Flipkart office supplies Payment AEGRY5
2025-04-29,"₹12,715",META ADS - Meta ads spend Payment 0VTKRR
2025-09-30,"2,944",CA CONSULT - CA consultation Ref ICAUTJX6EW
2025-03-09,"2,470",GOOGLE CLOUD - Google Cloud billing MUM
2025-08-16,"4,412 INR",ELECTRICITY - Electricity bill Ref I3MSDN1MXF
2025-04-11,"2,363",ATLASSIAN - Atlassian Jira
2025-11-11,₹402,NETFLIX - Netflix subscription Payment HR07N8
2025-07-17,"1,940",ELECTRICITY - Electricity bill Ref EUBFN9KR2F
2025-11-14,"8,285",UPI - UPI transfer BLR
2025-03-03,"1,580.68",SLACK - Slack subscription BLR
2025-06-22,"5,193",GOOGLE CLOUD - Google Cloud billing Payment B3YYM3
2025-04-23,"13,209",GOOGLE CLOUD - Google Cloud billing DEL
2025-02-07,500 INR,CA CONSULT - CA consultation Txn ESRSBZB7TLOM
2025-06-27,"5,106",IMPS - IMPS transfer POS/WM72QL
2025-01-13,₹274,ZOMATO - Zomato food order AHM
2025-09-22,"2,087",AIRTEL - Airtel broadband bill
2025-04-04,946.23 INR,ADOBE - Adobe subscription POS/UW2XH6
2025-02-04,"12,530.15 INR",NEFT - NEFT transfer BLR
2025-12-15,"₹1,436",RELIANCE FRESH - Reliance Fresh groceries MUM
2025-08-01,"₹4,235",LEGAL - Legal services Txn IXCCSG4OFDTR
2025-03-19,200,GITHUB - GitHub subscription UPI/066O1E
2025-10-22,"1,775",SLACK - Slack subscription
2025-12-19,425,KFC - KFC meal MUM
2025-11-05,"3,644.08 INR",AIRTEL - Airtel broadband bill UPI/2B2O31
